"","Card_Name","Max_rate","join_fees"
"1","Amex MRCC","~5%","FYF"
"2","SBI Cashback Card","5%","FYF"
"3","IDFC First Wealth","~2.5%","LTF"
"4","Amex Gold Charge","1% – 4%","1,000 INR"
"5","Amex Platinum Travel","~8.5%","FYF"
"6","Axis Atlas","2% – 4%","5,000 INR"
"7","Axis Vistara Infinite","~10%","10,000 INR"
"8","HDFC Marriott Credit Card","~2%","3,000 INR"
"9","SBI Air India Signature","5% – 8%","5,000 INR"
"10","Axis Magnus","2.4% – 24%","10,000 INR"
"11","HDFC Infinia","3.3%","FYF"
"12","Stan C Ultimate","3.3%","5,000 INR"
"13","Amex Platinum","1.25% – 2.5%","60,000 INR"
"14","Axis Reserve","3% – 6%","50,000 INR"
